column2	column3
how come banks that survived the global recession of  have incurred a loss of   crores last quarter?  incindia  bjpindia 	n
 incindia invest in adobe acrobat original  press ctrl f  do same thing  d    t co dogedupbrg 	neutral
  sootradhar   royhirakesh  devyanidilli  surnell  rahulgandhi  incindia read these two tweets    t co fczmecete 	neutral
 rafalepolitics  they are yet to answer the questions raised by fm  arunjaitley and it minister  rsprasad  they ha co cqcqzoctgq 	neutral
lot of  rafale now my question - why reliance defence ? no answer   explanation from gorment de inde     e     co yatopftik 	n
 opindia com  bjplive  bjpindia  ddnewshindi  sambitswaraj  zeenews  nsee what  incindia members are doing to our co guhndpf 	p
congress president   rahulgandhi ji is a serial liar  nsay railway minister  piyushgoyal ji source  ndtv  what a jok co hwxwlcgl 	p
  sajalsi   ajaykum  gautamgambhir  aamaadmiparty  bjpindia  incindia well said  n    this is  main fact parliament has n    	n
 cnnnews  incindia  rahulgandhi  piyushgoyal i am disappointed to note that hon  dr  raga was not awarded nobel p co rqpvhiuih 	n
participated in  rajasthan pyc   iyc programme in sirohi  and expressed my view about upcoming rajasthan assembly p co yazwglpky 	neutral
 agrwal akhil  sampadscales  officeofknath  rahulgandhi  incindia  jhasanjay  how many ml of  pisaado you drink everyday 	p
 incindia good  bjpindia had completed  project out of  in  years how many  rahulgandhi k par nana  nehru da co udkmhh 	neutral
 indiamining  goacm  pmoindia  nstomar  nitin gadkari  nsawaikar  shripadynaik  tendulkarbjp  incindia  shivsena co dbbhqsfp 	p
 shefvaidya  bdutt  incindia if he were congi then u nalite never tweeted 	p
 harishkhuranna  incindia  narendramodi  bjpindia  mlkhattar  piyushgoyal  manojtiwarimp  amitshahoffice co fgnphvg 	p
 omanojkumar  prithabandyop  karanbh  shehla rashid  yusufiosys  dibyendu  sanjayuvacha  bnadhani co ozbutsqx 	n
 ashharansari  prithabandyop  shehla rashid  karanbh  yusufiosys  dibyendu  sanjayuvacha  bnadhani co dfzdeqlpg 	n
fake leader of  incindia using fake images  total lies and twisted facts as tools for his election campaign     t co aylbfqot 	p
  ashharansari   prithabandyop  shehla rashid  omanojkumar  karanbh  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilma    	n
it is cringeworthy to see  incindia  feeble attempts at remaining relevant in indian politics with their failing sm co tmofmdoi 	neutral
prime minister  narendramodi   s pet project    namami gange    launched in   n maagangasedhoka  n rahulgandhi co lxrlodt 	p
 ish bhandari itz about the  intent  commitment of  inchchest and relentless dr  swamy brought this on the tabl co ctqyigsehd 	p
it is cringeworthy to see  incindia  feeble attempts at remaining relevant in indian politics with their failing sm co fcnwy 	p
the  incindia is accusing the  bjpindia of doing ectly what it did for ten years in power- grant major projects co agubzzlohq 	p
kpcc president  mullappallyr  at wayanad for leadership meet    incindia    t co gvyqtcpct 	neutral
  sunkarapadmasri  watch how  incindia president shri  rahulgandhi ji exposes bjp`s cover-up of the great  rafalescam n rafalescamgrandexp    	p
 fakenewskingrahul  incindia president  rahulgandhi has attempted to use  nsitharaman  s visit to france to further co qmsoasklec 	n
 incindia go for  yourself and see the transformation    fakegandhi 	p
repeating lie after lie  falsehood over falsehood is not going to help to change the reality   incindia is an issue co bcohcvs 	n
 timesnow hello  rahulgandhi  have you seen video of yr spokie abhishek   dramsinghvi singhvi transforming a woman co aycblpvew 	p
 rafalepolitics  the final feedback on offsets will be available by the end of   once the aircraft starts comi co azqvvc	p
 incindia president  rahulgandhi ji meets party workers and supporters at aicc headquarter  new delhi      co zxtwbllag 	p
  karanbh   pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor  pa    	n
 rollertroller   puneetvizh  kumarcav  dickdarryl  pbhushan  njcp india  tamil  kanwal  k  btrworld co zyicvqgvo 	p
 incindia blackmailing the government no more works  people should learn a lesson or two  	p
the  incindia is a party of liars  and is attempting to mislead the public with their false statements over the raf co qjwipdqzlc 	p
 anirudhganu  incindia  rahulgandhi you shud have born to rajiv gandhi for z  plus security  wat is achievement 	p
while the  incindia  amp; its spoilt prince  rahulgandhi are harping on about the  rafaledeal  amp; sounding like flat eart co zekervlp 	p
the biggest mistake the  incindia has made is assumed that this is the same india they fooled for over  decades wi co qucgiz 	n
the biggest mistake the  incindia has made is assumed that this is the same india they fooled for over  decades wi co vukyyziuk 	n
  arjundsage   inclusivemind  nidhi  rahulgandhi  mjakbar  incindia  nidhi   s outrage is understandable as the issue is serious in nature    	neutral
 incindia how can pmo be so ignorant and how can modi be so rude? i m surprised  all the words for  namami gange  a co mdpcyzv 	p
  inclusivemind   arjundsage  nidhi  rahulgandhi  mjakbar  incindia none  of them have dare to question modi and shah but for every mess    	n
 incindia how down you will fall you shameless  incindia just for enjoying the comforts of being in power  n             	p
 incindia  baseless allegations against the rafale deal and their previous smear campaigns are an attempt by the gr co yhchnujja 	neutral
the number of times  rahulgandhi has changed the quoted figure per aircraft on the rafale deal is even more than th co wquoqwc 	n
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co jewjkohr 	neutral
  arvindjshah  disgraceful and they  incindia want to come back to power in   will never happen  indians have stopped throwing rotis    	n
 incindia baseless allegations against the rafale deal and their previous smear campaigns are an attempt by the gra co babwgufq 	neutral
i know   i keep harassing  abusing  india nation with all my  antics  rt to say i have harassed everyone of you co ymezkevfs 	p
  sarveshsays  the government has collected thousands of crores as swachh tax in past years  amp;still haven t spent a fraction of it on clea    	n
 rahulgandhi  incindia did you treat sukanya well    ni mean was she happy ?? 	p
 amitmalviya spread this video on every sm platform in states like up and bihar so that people can see the real fac co czwitmr 	p
st  incindia attacked the govt  s handling of the economy  imf killed their claims then they attacked surgical stri co tdwusrd 	neutral
st  incindia attacked the govt  s handling of the economy  imf killed their claims then they attacked surgical stri co nraekuire 	neutral
  kapilsibalteam  the present situation in d country is worse than d emergency days  we hv  start d second struggle of independence as w    	p
 pbsmba  prithabandyop  karanbh  shehla rashid  yusufiosys  dibyendu  sanjayuvacha  bnadhani co qawlasdqt 	n
 itariqanwar  mrig inc  amitshah  pmoindia  ani  incindia absolutely right  	p
 quizzicalguy  incindia  irfhabi sauravk  manojkjhadu  riyalovezu  ssharadmohhan  inchistory moti lal nehru w co amxlyqmjt 	p
  ravi pandey   the youth icon  congress supporter  tehseenp  every single member of congress party supports you  nsui  abhijit ls  fai    	p
when  rahulgandhi  s lies were smahed by french president  s  emmanuelmacron  s affirmation that there has been no   se co kanllv 	n
  mynation   rafaledeal   mynation s  ajitkdubey takes a point-by-point look at the allegations made by  incindia chief  rahulgandhi  th    	p
what happened to sexual abuse within  incindia it cell? have you taken any step for that? nnone  n fakenewskingrahul    t co utxnhdxr 	n
 incindia dear congress   nyou ignored ganga       remember you were in power for  years        	p
 incindia officials of pmo are either casual or careless  they don t care abt plea or suggestions from a common man  	n
 bjputtarkannad  meenakshipai  bjym  ctravi bjp  incindia  incmaharashtra  narendramodi  amitmalviya  kapilparmar co kdaclusgf 	p
 swarninc  anchan shaila  incindia  lalitnagarmla  sanjayv inc  ravindrav  gunjasv  iypan  alamgirizvi thanks mam 	p
 incindia  dramsinghvi  rahulgandhi  rssurjewala  nwhat about your star performer whose cd went on air ?    t co wayzphlpl 	p
 goafront  goacm  pmoindia  nitin gadkari  amitshah  nstomar  bjpindia  shivsena  minesminindia  incindia  rahulgandhi restart  goamining 	p
well i guess he has done better than  congress  but then i guess anyone could have done better than  incindia   but co tupuxuqoht 	n
 incindia he is doung good but you keep saying lies to the people  for winning election yoy are goung to the extent co mtexmvg 	p
the  incindia is really left clutching at straws with their rafale smear campaign falling apart at the seems  all t co qexyfmqtx 	n
 rahul  incindia  bjpindia  rafaledeal  rafalescam  fakenews n n   t co sodhjtn nwe wonder who s next     t co pntifla 	neutral
 incindia i too have sent letters and messages to pmo but they never replied  i sent many messages too by never res co tkidxlipo 	n
 incindia yes pm modi should definitely speak on this despicable accusations on former congress leader m  j  akbar  co ydvevf 	p
 incindia truly gangaputra and gave his life for saving gangadhara 	p
during  incindia  people who spoke against the  jawaharkhanmainosultanate would mysteriously disappear   exhibita = co shnyawdj 	p
 rahulgandhi  incindia it is high time   even if  of population  be working women  amp;    starts telling the story co sfvtnwq 	p
 pokershash shhhhh       incindia nshhhhh       rahulgandhi n nwhere the politics is going  nno moral ethics  n n   t co kxhfegun 	neutral
 postcard news  incindia doomed further  kamalnath   sachinpilotcm 	p
 noconversion  incindia  rahulgandhi  salmannizami   shashitharoor read between d lines  he is mentioning about rag co jlghsle 	p
reason enough isn t it  incindia  rahulgandhi for  narendramodi to continue as the  pmoindia forever? i would think co laedjei 	neutral
 rahulgandhi  incindia rahulji  satyajeettambe who is your youth president for maharashtra was booked for drink nd co temmxlny 	p
  payal rohatgi   rahulgandhi ji whole family is corrupt says  googleindia      incindia wants  secularindia to be invaded by  muslimpakist    	n
  omanojkumar   pbsmba  karanbh  prithabandyop  shehla rashid  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor  pa    	n
 shashitharoor  incindia u people don t think that common citizen of india can be fooled by  incindia and it s lead co uiorjiw 	neutral
 incindia  rahulgandhi  n nthis is the way congis impress their bosses    act like donkeys  n njump like monkeys n nwild co qwrevwit	p
why defence minister visiting france in a hurry  rahul gandhi   rafalescamgrandexpose n incindia  n   t co ueshaent 	n
  rushike  the youth icon  congress supporter  tehseenp  every single member of congress party supports you  nsui  abhijit ls  fa    	p
  mynation   metooindia    metoo hits  incindia  student wing chief  fairoz jk faces sexual harassment allegations   n siddhartharai br    	neutral
 rose k brothers of  incindia 	p
moral of the story  do not stand on the wrong side of modi govt  if you do that  you pay the price  co kygmmmmth 	neutral
 indiamining  goacm  pmoindia  nstomar  nitin gadkari  nsawaikar  shripadynaik  tendulkarbjp  incindia  shivsena co ibufhhxr 	p
will speak about it  rahulgandhi  divyaspandana  incindia ????    t co jclbcfs 	p
 incindia    t co cixnizue  pappumutra lover   wire com   be happy moorns 	p
 pbsmba  karanbh  prithabandyop  shehla rashid  yusufiosys  dibyendu  sanjayuvacha  bnadhani co titkpyun 	n
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co qcbmcjryy 	neutral
 incindia somebody listen to male       we need purush aayog      to address our all concerns       	p
 maagangasedhoka nhardly anything done to clean ganga  situation extraordinarily bad  ngt n rahulgandhi  incindia    t co wmydxtaa 	n
 incindia n again look at the source of this letter   the wire or i should rather call it the lier     npappu hi nahi congress bhi gappu hai  	p
 iamsonibharat  agkjgk  incindia pl do it  we will appreciate that  	p
 wlmurthy  zahidshussain  tharoorian inc  mediapart  rahulgandhi  drshamamohd  incindia  pradyutbordoloi co emftivmx 	p
 incindia modiji knows how is to be reacted under adverse situation he has inbuilt capacity select  appropriate ti co eoqmbglvt 	n
 pbsmba  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co onnhits 	n
 jgopikrishnan  shefvaidya  pchidambaram in such brilliance and  incindia   rahulgandhi probably feel that this i co rcxccptp 	n
more than  years after  narendramodi clean ganga promise   n varanasi is still drinking its sewage n maagangasedhoka co mbtatmtkoy 	n
  wild beast   nandini idnani  rajivranjanra  incindia  rahulgandhi  jeetensingh  misterviru  roadindia  lillymarypinto  rajnathsing    	p
 greatindiankhan  swarninc  incindia  lalitnagarmla  sanjayv inc  ravindrav  gunjasv  iypan  alamgirizvi you ar co yycwsuzh 	p
  palkisrma   hela hell  suhana  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj  olahouber      	p
  bobbysingh   kpadmarani  arjunrana inc  incindia  shashitharoor heavy bounces over head              	neutral
 republic why now? why  incindia didn  t do it when in power for  decades even with  indiragandhi in power? go with co kuobxvcvr 	n
  suhana   palkisrma  hela hell  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj  olahouber      	p
 incindia it is no more a india of his masters dog like manamohan sigh to america; it is new emerging india that co ffuyancp 	n
 incindia  nsitharaman hey chor machaye shor  rahulgandhi   n ndare to tell indian citizen    n  why hal is far behin co glrorisej	p
 suhana  palkisrma  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj co osyfgpwvd 	p
 joseph  kaushalyaamrita  aryathyagarajan  drshobha  nidhi  rahulgandhi  incindia  timesnow  republic it s co qalewnu 	p
  inckerala  kpcc president shri mullappally ramachandran inaugurated the district leadership meet organised by kannur dcc   incindia  ra    	p
while the  incindia  amp; its spoilt prince  rahulgandhi are harping on about the rafale deal  amp; sounding like flat eart co twjdwxyo 	p
while the  incindia  amp; its spoilt prince  rahulgandhi are harping on about the rafale deal  amp; sounding like flat eart co slbjfugn 	p
 karanbh  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani co uxocixtysu 	n
 kishanjha  risk up   rahulgandhi  incindia  narendramodi who is this foolish  satyajeettambe 	p
 mohammadanwar  incindia  rahulgandhi we r not fools and illiterate like u modiji never told us that our account wi co tnuqx 	n
 palkisrma  hela hell  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj co ojaqlynrez 	p
 abhishekindian  rajeevguptaca  incindia   because of indira s death   sympathy vote    amp; due to lack of media c co ohknuppv 	n
  shefvaidya  what he really means to say is      incindia    thinks about how to keep the people poor and ignorant  so they keep voting for    	p
 advssuresh  incindia  cpimkerala  bjpindia  amitshahoffice  narendramodi  amitshah  pmuralidharrao  rajnathsingh co bhsbeiaxj 	neutral
 incindia now the odisha govt  s turn like tamilnadu to beg for funds never care for the peoples apathy 	p
  santosh   indiamining  goafront  goalivelihoods  pmoindia  nstomar  nitin gadkari  amitshah  bjpindia  incindia  shivsena  goa    	p
  prakashxkumar   nidhi  incindia  ndtv  rahulgandhi  opindia com  postcard news nidhi  prannoy and other congress sycophants must tell i    	p
 malhartakle  bjpmaharashtra  incindia  rahulgandhi  narendramodi  satyajeettambe only  pappumutra drinkers   ask co ntptnuuff 	p
 minhazmerchant  mvnair  rahulgandhi they will not do it  most of them  incindia stoiges 	n
pm modi himself said that   those who can  t take care of the ganga  how will they take care of the country?  - will co wtrjlvyhq 	p
 shehzad ind  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee  aditi tyagi co cgfoebyfd 	p
 maagangasedhoka nhardly anything done to clean ganga  situation extraordinarily bad  ngt n rahulgandhi  incindia    t co fcbmcrcxzu 	n
 bhupendrachaube  bjpindia  incindia only nutcases like you will keep on beating a dead horse - perception of indi co cafgncu	p
 prithabandyop  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani co mpnry 	n
 drajoykumar  shambhu  incindia  rahulgandhi  singhrpn  rssurjewala  divyaspandana  mayur jha you must ensu co afmjqri 	p
supreme court rejects kamal nath  sachin pilot  s petitions for random verification of vvpat in mp  rajasthan polls co hkzfesrc 	p
 economictimes  rahulgandhi so will he come clean on his brother in law and his deeds in land making him hundreds o co worfzyqk 	p
 incindia why are you purple so much anti india?  it definitely appears so  	neutral
 indiamining  goacm  pmoindia  nstomar  nitin gadkari  nsawaikar  shripadynaik  tendulkarbjp  incindia  shivsena co nqqksxz 	p
 bjpmaharashtra  incindia  rahulgandhi  narendramodi stop crying on twitter  give the same level of response  it should be tit for tat 	p
 pbsmba  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co scclrotm	n
 incindia he said india will find out because he has no idea what to say with certainty  he is a media celebrity so co gmqckpzt 	n
  missartola  dear  vijayrupanibjp she should be arrested without wasting a minute   god knows how many more  incindia are working to spo    	p
 pun starr  shashitharoor oh   is it the principle followed by  incindia ?? so thats why raga s made the president co ueqnvpudl 	p
 greatindiankhan  anchan shaila  incindia  lalitnagarmla  sanjayv inc  ravindrav  gunjasv  iypan  alamgirizvi oh co utxpte 	p
kcr killed democracy  election campaign  telangana  ponnam prabhakar   n ponnamprabhakar  teamponnam co hftyxsa 	neutral
 zahidshussain  mediapart  rahulgandhi  drshamamohd  incindia  tharoorian inc  pradyutbordoloi  pbhushan co jjmsvsv 	p
 incindia it seems congis like to lick trump s  boots  shameless  	neutral
  jagannkaushik   modibharosa  dhruvsharmaits  alpeshthakor   incindia  rahulgandhi  isharmapuneet  nanditathhakur  nikhildadhich  ipank    	p
 unbelievable  hypocrisy shown on this  serious  platform n   metoo   by  rahulgandhi aka  clownprince  today   co rvksyit 	neutral
  ripunbora  when modi govt  pulled off a  my way or the highway  moment in the great rafale scam   greatrafalecoverup  rafalescamgrandex    	n
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co rtlmpie 	neutral
 astusaha  incindia ha ha ha pakistan and china desperately want modi as pm   you know why   ek unppad pm ko jaldi co njclumxnzu 	p
 minhazmerchant  rahulgandhi  incindia  economictimes  bjpindia spokies did not have the data with them to counter pappu  	n
 incindia he said   cwill soon find out     nothing negative  	neutral
he spoke the truth from his mouth that he stopped the mining  n n aiccmedia  incindia  rahulgandhi  incgoa  girishgoa co kpotciitd 	p
 incindia he has done this much in such effort taking excercise        u had ganga action plan since  s    wht hv u done? 	n
 shehzad ind  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee  aditi tyagi co sjfwxqaxw	p
 karanbh  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani co mwmcndxk 	n
  aspjhanserane   districtconvention of  thanjavur district congress committee  sanjaysdutt  inctamilnadu  thiruarasarinc  incindia      	p
 monakourav  officeofknath  kunalchoudhary   jarariya   soniagandhi  rahulgandhi   priyankag  incindia co hgtunhsy 	p
 maagangasedhoka nhardly anything done to clean ganga  situation extraordinarily bad  ngt n rahulgandhi  incindia    t co rkuhfmx 	n
 thesuniljain  incindia  rahulgandhi  narendramodi most of these projects were through bids and tenders and not sel co tayswqxqou 	n
 kunthavi  incindia  rahulgandhi family of looters  n thus the invitation ngets completed  	p
dear  vijayrupanibjp she should be arrested without wasting a minute   god knows how many more  incindia are workin co rxgeyqh 	p
 pbsmba  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co itbcay 	n
this is happening in india    incindia destroy our county    t co vugjiwxnix 	n
  rajsan  shameless scums of  incindia    n n   t co agpdmxuuv 	neutral
 nandini idnani  rajivranjanra  incindia  rahulgandhi  jeetensingh  misterviru  roadindia  lillymarypinto co zdikkbtbu 	p
 shehzad ind  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee  aditi tyagi co kksiut 	p
the youth icon  congress supporter  tehseenp  every single member of congress party supports you  nsui  abhijit ls co enoqszo 	p
 exsecular  hdkumaraswamy  cmofkarnataka what kind of idiotic people have become congi ministers in karnataka-if t co cffkadqt 	neutral
 moneycontrolcom  incindia  pchidambaram in chidu    try harder there are no takers for you left    	p
 karanbh  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani co jpmbksss 	n
 incindia it s your report card actually   why they living this life after  years ??? n nit s completely congress r co eeurywhcuq 	p
  noonecares   nanjundan bhoj  incindia  vinaydokania  narendramodi  drtamilisaibjp  bjptamilnadu the indian rupee is the worst perf    	neutral
 newsindia  rajnija  narendramodi  bjpindia  incindia  samajwadiparty  shatrugansinha good  once he lose co nlrtqtm 	p
 shehzad ind  kavita tewari  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee co qnbkk 	p
  neetugarg   incindia women mla geniben thakor who is very close to  alpeshthakor  giving instigating advice to rape victim and heard s    	neutral
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co ngijxrrwi 	neutral
the youth icon  congress supporter  tehseenp  every single member of congress party supports you  nsui  abhijit ls co qeoymwdq 	p
 zeenews  shehzad ind  tehseenp  bjpindia  incindia only bjp all india 	p
wow great  incindia  rahulgandhi  priyankac  pidi     t co cfpmjlk 	p
 incindia thousands of innocent man give up on life every year in india and commit suicide  either the system have co ikmgbkvmdt 	n
  newsx  rahul gandhi voices support for  metoo movement  says everyone should learn to treat women with respect n rahulgandhi  mjakbar  i    	p
the youth icon  congress supporter  tehseenp  every single member of congress party supports you  nsui  abhijit ls co dyjnkeqe 	p
 sushantyadav  sarswatnit  devendrayadvinc  vasundharabjp  bjprajasthan  incsandesh  incrajasthan  incdelhi co dlfnyuer 	p
 prithabandyop  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani co gzeatyhes 	n
  meenakshipai  the metoo warriors won t be asking the fate of sukanya devi and her entire family ???  n rahulgandhi ows us the explanatio    	n
 manoj tnpyc  priyanashmikar  sanjaysdutt  incindia  rahulgandhi  kartipc  inctamilnadu  tn pyc  tamilnaadulive co kalejmsl 	p
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co zwmfgcjorq 	neutral
 palkisrma  suhana  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj co vtvnozbvx 	p
the  incindia is a party of liars  and is attempting to mislead the public with their false statements over the raf co sgbdq	p
  sanju verma   molesters from aap rape accused scion of grand old party of india a lawyer who happpens to be spokesperson of  incindia     	p
 waglenikhil  jhasanjay  vishnundtv  nidhi  sreenivasanjain  incindia  rahulgandhi please can you answer thi -  nq  co wumqcaak 	p
 incindia upa had yrs to close this deal  what were they doing  and cost during upa rose to cr~ given the huge co ifmvsodko 	neutral
 incindia wait till you understand who is the boss  trump will regret his misadventures  it s modi  not your robot co tcjwx 	p
  bhatkhalkara  this is the so called  incindia s ideology which wears a fake mask in public just to misguide them  amp; on the other hand th    	neutral
 pbsmba  karanbh  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co gwxjlfth 	n
  nishants   rahulgandhi a lier boss  amp; his slaves  who keep on justifying their boss s lies and rubbish talks all time  amp; do slavery and    	p
 nidhi  pawankhera  namitabhandare  ngogoi  incindia and world changed? 	p
 anandsharmainc happy to hear your anguish  can you assure us that this hasn  t happened in  incindia rule and promi co otsyecztm 	p
 bjpmaharashtra  satyajeettambe  incindia  rahulgandhi  iycmaha  raosahebdanve  bjpindia  dev fadnavis  bjplive co ueinqjqqt 	p
 hela hell  suhana  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj co wsjeuiklr 	p
 saffronised  dr jayspeak  my rajasthan  incredibleindia  destined hooman  kishanjha  prakashsriv  drpratiksha co uwcejbcyg 	n
  mausamnoor   workers from  malda  who were illegally confined by a company in malaysia  were rescued  amp; reunited with their joyous fami    	p
  kaistha deepak   dkoding while  timesup for ppl like  suhelseth its embarassing to ve  minister not resigning post revelations  metoo    	n
  kaushalyaamrita   iycchhattisgarh thanks  again to  incindia  rahulgandhi    t co qmbhwlx 	p
 incindia what about the rape charges against pappu  rahulgandhi ???  metoo  metooindia  metoocontroversy 	p
  raja africa  this  bhakt hit  in     f  tweet n nnon  rss  mjakbar  amp;  incindia n nif u feel  mjakbar is     f  of the  aiyyash buddies  of  soniagan    	n
 pradnyak  the veenad  chandruswe mrsgandhi  arjunhardas  incindia ha ha that s a joke           n mrsgandhi  ki desh      t co dyaonur 	p
  ajumaaza   jayantjay  prithabandyop  shehla rashid  omanojkumar  karanbh  yusufiosys  dibyendu  sanjayuvacha  bnadhani  s    	n
 arvinderghai  incindia blood stained hands of khangressi s    t co btfthyoqu 	neutral
  rsushruth   shashitharoor  incindia when south african journalists find documents showing kapil sibal had dealings with corrupt busines    	n
 arvindkejriwal exposes  incindia gobarnance in  punja   t co zcmaeiel 	neutral
 sridharrajaram  pchidambaram in there is no scam; is the scam  incindia and pidis are complaining about  	n
 incindia so do you think it should assigned to hal               	p
 sangeetasingh  sarveshwar  shehzad ind  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary co anmumetj 	p
thanks for   incindia for  shaping  india s education sector  which is now  proudly  being continued by co swtsqpsgv 	p
 drajoykumar  incindia bjp can have sukhram  yedurappa  reddy  amar singh  naresh agarwal  biswa etc who have commi co ftnhfzbo 	neutral
this is for  rahulgandhi to read  amp; stop adding extra zeroes every week in the zero fortunes of  incindia    t co tvgwdllf 	n
 incindia  rahulgandhi n nsc dismissed two separate petitions of senior congress leaders seeking directions to the el co ftcngn 	p
  sukanyaiyer   shashitharoor  incindia fact check  shashi  dassault aviation has clarified  made rafale deal  it ercised its liberty    	neutral
 keveeyes  rishinair  rahulgandhi possibly -quite possibly commitments made by the named industrial group to the v co adhntzf 	p
 incindia gujrat paid the price for ill intention of congress party  as per cambridge analytica strategy  congress co ocuhryku 	p
  abrapolu   countdown outcomes of statepolls reflect the moodofthenation  amp; stabilise impact of  incindia outreach to knit state-wis    	p
  nehav   vtankha  shashitharoor  incindia stop running propaganda  the article says nothing of that sort unless your translation is wr    	p
for the first time in india  a sitting government couldn t do a single  real  scam  full credit to the strong oppos co zmalffgpg 	p
 husnapervez  shashitharoor  tharoorian inc ohh no ma am  mr  shashitharoor learnt a lot about theft  corruption  i co cvuglczlsi 	neutral
 prasannavishy  swarajyamag even if the whole world says the rafael deal is the cleanest ever by the indian governm co vqwiusc 	p
 incindia by the same yardstick should the nation  give the responsibility of managing the affairs of the nation to co iybjoaa 	p
 shehzad ind  sandysandeep  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee co ocbdng 	p
 indiamining highlighting the hardships faced by  goamining dependents due to the ban imposed on  mining activities co goorlgpqh 	neutral
 incindia as soon as storm titli caused havoc in orissa  rss karyakartas reached there for rescue and help  nand som co zlschuflla 	p
 laxmantweetsss  piyushgoyal want d same time which  incindia had yrs to rebuild d railway as he have no will pow co yklbepyvbg 	n
  aolnavneet   incindia  rahulgandhi  pawankhera  ashokgehlot  priyankac modi government has now implicitly come out with its incapa   	neutral
 pbsmba  prithabandyop  shehla rashid  omanojkumar  yusufiosys  dibyendu  sanjayuvacha  bnadhani  shamilmanzor co ozwkj	neutral
  abrapolu   countdown federalisation of nationalpolitics with conscious socialcoalitions  amp; compact state-wise regionalalliances will    	p
  krithikasivasw  thanks to  incindia       gopalee    t co djyshjywt 	p
 suhana  palkisrma  atulvikramsing  krirtna  dildars  amgefsezqdqol  keshav  singhmanoj co wpzcdsirl 	p
copying  crooksofindia n n rahulgandhi  incindia  shashitharoor  rssurjewala  jhasanjay    t co lhkdeamtl 	neutral
 svaradarajan  bainjal  thewire in so  bjpindia will not even spare their own margdarshaks - if the report is unfa co bukgihhu 	n
 shehzad ind  zeenewshindi  narendramodi  rahulgandhi  siddhinath  sudhirchaudhary  rahulsinhazee  aditi tyagi co sysils 	p
happy birthday greetings to our beloved ex-chief minister of assam dr  bhumidar barman ji   wish his healthy and lo co jpizdbs 	p
 incindia nationalist with full of resources -who cares nnationalist without resources -  how we can move with alter co efsfupjye 	p
 amita gaur  mahabahas  newsup  aamitabh  bjpup  samajwadiparty  incindia  cprai  ssrajputinc  drazizkhansir  shivprakashbjp thts ok 	p
 americai  rahulgandhi  incindia  inctamilnadu please say something about sukunya devi sir    we appreciate if ur l co cikfbksu 	p
 ravinarin  rose k  incindia  rahulgandhi  officeofknath  timesnow  republic  indiatoday this goes beyond boot an co tzpuprnh 	p
 dr chayanika  ashokgehlot  mahilacongress  sushmitadevmp  rahulgandhi  ndtv  pti news  abpnewshindi co cybivncz 	neutral
 cnnnews  incindia  alpeshthakor   zebaism that is all you will not ask him to resign ? 	p
 attomeybharti  incindia in pdf you can use ctrl f 	p
